Team Id,Name,Factory,Location,Operator Experience (years),Operator Training Level,Absenteeism Rate (%)
Location A_Factory 1_Member_0,Member_0_0,Factory 1,Location A,10.0,3.6,0.45
Location A_Factory 1_Member_0,Member_0_1,Factory 1,Location A,3.6,2.7,3.6
Location A_Factory 1_Member_0,Member_0_2,Factory 1,Location A,4.4,1.6,3.6
Location A_Factory 1_Member_0,Member_0_3,Factory 1,Location A,2.9,1.3,3.3
Location A_Factory 1_Member_1,Member_1_0,Factory 1,Location A,8.2,4.4,1.52
Location A_Factory 1_Member_1,Member_1_1,Factory 1,Location A,4.6,2.2,1.3
Location A_Factory 1_Member_1,Member_1_2,Factory 1,Location A,3.4,1.7,6.1
Location A_Factory 1_Member_1,Member_1_3,Factory 1,Location A,2.6,1.7,3.8
Location A_Factory 1_Member_2,Member_2_0,Factory 1,Location A,8.9,4.4,1.85
Location A_Factory 1_Member_2,Member_2_1,Factory 1,Location A,6.6,2.9,4.8
Location A_Factory 1_Member_2,Member_2_2,Factory 1,Location A,4.3,1.6,4.0
Location A_Factory 1_Member_2,Member_2_3,Factory 1,Location A,2.8,1.2,0.1
Location A_Factory 1_Member_3,Member_3_0,Factory 1,Location A,6.2,3.4,1.99
Location A_Factory 1_Member_3,Member_3_1,Factory 1,Location A,3.5,3.8,1.2
Location A_Factory 1_Member_3,Member_3_2,Factory 1,Location A,2.6,2.6,1.7
Location A_Factory 1_Member_3,Member_3_3,Factory 1,Location A,3.5,1.5,3.3
Location A_Factory 1_Member_4,Member_4_0,Factory 1,Location A,6.0,3.4,1.37
Location A_Factory 1_Member_4,Member_4_1,Factory 1,Location A,7.5,3.1,3.1
Location A_Factory 1_Member_4,Member_4_2,Factory 1,Location A,1.8,1.4,2.6
Location A_Factory 1_Member_4,Member_4_3,Factory 1,Location A,0.0,1.6,0.5
Location A_Factory 1_Member_5,Member_5_0,Factory 1,Location A,6.6,3.3,1.69
Location A_Factory 1_Member_5,Member_5_1,Factory 1,Location A,5.6,3.5,1.1
Location A_Factory 1_Member_5,Member_5_2,Factory 1,Location A,1.8,1.4,2.2
Location A_Factory 1_Member_5,Member_5_3,Factory 1,Location A,4.8,2.0,5.1
Location A_Factory 1_Member_6,Member_6_0,Factory 1,Location A,9.7,4.0,1.07
Location A_Factory 1_Member_6,Member_6_1,Factory 1,Location A,4.6,3.8,3.6
Location A_Factory 1_Member_6,Member_6_2,Factory 1,Location A,5.6,2.6,2.2
Location A_Factory 1_Member_6,Member_6_3,Factory 1,Location A,3.9,1.3,2.9
Location A_Factory 1_Member_7,Member_7_0,Factory 1,Location A,9.2,4.4,1.63
Location A_Factory 1_Member_7,Member_7_1,Factory 1,Location A,6.3,2.3,2.6
Location A_Factory 1_Member_7,Member_7_2,Factory 1,Location A,5.9,2.1,6.3
Location A_Factory 1_Member_7,Member_7_3,Factory 1,Location A,1.7,1.6,6.1
Location A_Factory 1_Member_8,Member_8_0,Factory 1,Location A,5.9,4.6,2.35
